fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240508 000427	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	684	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.23684004867091	0.620387871974538	435	1000	7804	29710098.9505247	1
20240508 001025	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	510	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0152590596273098	0.697671538746376	1737	1235	8976	31660485.7571214	2
20240508 001442	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.326731359860306	0.831529736357784	957	135	8836	29300575.7121439	3
20240508 001809	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.305563105697424	0.6591929907997	521	895	7489	28663734.6326837	4
20240508 001946	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.350110020590453	0.823004439597699	681	1771	8821	28396310.3448276	5
20240508 002141	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.257323691285466	0.586427932914116	1531	1685	8710	27635997.0014993	6
20240508 002424	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.151354686260869	0.854710967205437	1280	481	8427	29330874.0629685	7
20240508 002753	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.47819179984948	0.559816652359875	822	746	7617	27662943.0284858	8
20240508 003019	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.222271494233421	0.539308299048833	236	1481	8389	27958097.4512744	9
20240508 003519	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	484	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.116941038065412	0.631759723655652	1082	404	7208	29581397.3013493	10
20240508 003730	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.455826378381319	0.77734728207305	270	248	7472	26439892.053973	11
20240508 003909	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.165573651811997	0.750213638825677	1383	1983	7801	28972172.4137931	12
20240508 004047	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.416751798626064	0.88172717801045	1968	1557	8872	28583100.4497751	13
20240508 004203	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	74	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0764557119587641	0.728368166607241	52	1087	8506	30454233.8830585	14
20240508 004535	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0674893556046965	0.508675456624361	1838	1309	8358	30944890.5547226	15
20240508 004808	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	216	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.401166146539194	0.719035192156285	1628	659	6826	27105568.2158921	16
20240508 005757	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1006	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0133318355797778	0.551558519909016	1648	1043	10073	31320850.0749625	17
20240508 010133	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	363	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0323658185025982	0.835010304710184	2045	1147	8639	32133194.9025487	18
20240508 010509	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	219	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0363872347373863	0.89998840471182	1695	1108	9042	31646113.9430285	19
20240508 010803	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	195	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0345202331043056	0.751246088314553	2048	1128	9512	30889427.2863568	20
20240508 011532	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1062	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100416737849325	0.899885257334165	1597	1260	8843	32351239.88006	21
20240508 012416	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	968	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100357511343702	0.899861808567256	1484	1320	8375	32130952.023988	22
20240508 012954	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	614	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100944253461039	0.899951885965863	1655	1316	8744	31229709.1454273	23
20240508 013735	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1069	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100915395323859	0.89992819110083	1283	1186	8314	31321448.2758621	24
20240508 014315	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	636	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0106729730677695	0.899505178486978	1773	1257	8488	31405985.0074963	25
20240508 014644	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	334	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0281016778622042	0.892381111164827	1533	1274	8424	31741553.2233883	26
20240508 015010	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0236438439862132	0.866103611490144	1527	1270	7637	31141773.6131934	27
20240508 015658	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	888	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100525012567598	0.896377858135739	2044	1220	8511	31995755.6221889	28
20240508 020448	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101227736539973	0.897536272809785	2047	1219	8227	31883257.8710645	29
20240508 021236	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101227736539973	0.897536272809785	2047	1219	8227	31883257.8710645	30
20240508 022035	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101227736539973	0.897536272809785	2047	1219	8227	31883257.8710645	31
20240508 022904	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1244	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101078039879145	0.897521142979751	2048	1201	8583	31794748.125937	32
20240508 023651	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101227736539973	0.897536272809785	2047	1219	8227	31883257.8710645	33
20240508 024440	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101227736539973	0.897536272809785	2047	1219	8227	31883257.8710645	34
20240508 025300	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1424	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100486252927121	0.899239152503193	2046	1523	8767	31130304.3478261	35
20240508 025928	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	777	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102186808035011	0.899576031713481	2014	1157	8699	31362670.1649175	36
20240508 030541	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	734	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100158882522108	0.886332105174558	2009	1230	8501	31713791.6041979	37
20240508 031327	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1116	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100537444463637	0.896040603340496	1892	1227	7796	32219496.2518741	38
20240508 032506	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2040	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100114638672736	0.857867170569589	1860	1225	8460	31484647.6761619	39
20240508 032931	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0106909839379426	0.898586778406568	1890	1227	7437	29738235.3823088	40
20240508 033119	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.278940752613579	0.867129870913507	1183	1273	8966	29409406.2968516	41
20240508 033247	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.410244059635583	0.894761631728341	99	1600	9748	28201937.0314843	42
20240508 033800	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	529	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.330305488713207	0.51475381592335	970	995	7116	30242044.9775112	43
20240508 034406	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	726	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102262482025707	0.818809194720615	2048	1274	8290	31894677.6611694	44
20240508 035136	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1107	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.010057533089898	0.825820227122798	2047	1277	8825	32627848.5757121	45
20240508 040103	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1221	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101456543376447	0.814524061032212	2048	1290	8506	32133214.3928036	46
20240508 040819	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1038	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101284730100169	0.81222253516376	2048	1307	9170	31922743.6281859	47
20240508 041539	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1038	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101284730100169	0.81222253516376	2048	1307	9170	31922743.6281859	48
20240508 042247	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1038	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101284730100169	0.81222253516376	2048	1307	9170	31922743.6281859	49
20240508 042828	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	650	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100529676450557	0.79002115723171	2047	1291	8356	31541055.4722639	50
20240508 043651	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	51
20240508 044516	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	52
20240508 045101	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	650	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100529676450557	0.79002115723171	2047	1291	8356	31541055.4722639	53
20240508 045920	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	54
20240508 050739	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	55
20240508 051606	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	56
20240508 052439	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	57
20240508 053307	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	58
20240508 054132	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	59
20240508 054954	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	60
20240508 055813	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100518104908441	0.800069204602321	2047	1287	8392	31993775.1124438	61
20240508 060356	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	650	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100529676450557	0.79002115723171	2047	1291	8356	31541055.4722639	62
20240508 061155	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1221	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101456543376447	0.814524061032212	2048	1290	8506	32133214.3928036	63
20240508 061756	1054	296747	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	714	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100465357932214	0.808391005580733	2048	1296	8700	31926626.6866567	64
