fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 013340	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.23684004867091	0.620387871974538	435	1000	20791	81173146.9265367	1
20240509 013725	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	271	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0152590596273098	0.697671538746376	1737	1235	21217	84989779.6101949	2
20240509 014019	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	175	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.326731359860306	0.831529736357784	957	135	18051	79199743.6281859	3
20240509 014349	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.305563105697424	0.6591929907997	521	895	18981	80820118.4407796	4
20240509 014524	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.350110020590453	0.823004439597699	681	1771	17577	79138145.4272864	5
20240509 014720	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	37	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.257323691285466	0.586427932914116	1531	1685	18464	78227550.2248875	6
20240509 015327	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1024	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.151354686260869	0.854710967205437	1280	481	17575	81223125.9370315	7
20240509 015651	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.47819179984948	0.559816652359875	822	746	21136	79604893.5532234	8
20240509 015920	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.222271494233421	0.539308299048833	236	1481	20717	81781713.6431784	9
20240509 020246	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.116941038065412	0.631759723655652	1082	404	17574	82342047.976012	10
