fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240508 141709	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.23684004867091	0.620387871974538	435	1000	21153	66987236.8815592	1
20240508 142233	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	653	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0152590596273098	0.697671538746376	1737	1235	17710	72032698.6506747	2
20240508 142659	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	594	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.326731359860306	0.831529736357784	957	135	17215	64276799.1004498	3
20240508 142952	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	285	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.305563105697424	0.6591929907997	521	895	16646	63887487.2563718	4
20240508 143306	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	454	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.350110020590453	0.823004439597699	681	1771	15788	60998278.8605697	5
20240508 143510	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.257323691285466	0.586427932914116	1531	1685	17844	62956875.5622189	6
20240508 143916	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.151354686260869	0.854710967205437	1280	481	18515	68662916.041979	7
20240508 144235	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	224	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.47819179984948	0.559816652359875	822	746	17656	61564533.7331334	8
20240508 144501	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.222271494233421	0.539308299048833	236	1481	17992	69330026.9865067	9
20240508 144912	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	327	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.116941038065412	0.631759723655652	1082	404	16430	65871979.0104948	10
20240508 145132	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	266	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.455826378381319	0.77734728207305	270	248	17952	62534584.7076462	11
20240508 145310	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.165573651811997	0.750213638825677	1383	1983	17960	68427706.1469265	12
