fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 000410	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.23684004867091	0.620387871974538	435	1000	9428	28389643.1784108	1
20240510 001004	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	862	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0152590596273098	0.697671538746376	1737	1235	8214	30248734.6326837	2
20240510 001323	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.326731359860306	0.831529736357784	957	135	9813	28571254.8725637	3
20240510 001515	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.305563105697424	0.6591929907997	521	895	10586	27416152.9235382	4
20240510 001649	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.350110020590453	0.823004439597699	681	1771	10615	27819227.886057	5
20240510 001848	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.257323691285466	0.586427932914116	1531	1685	7674	27185256.3718141	6
20240510 002120	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.151354686260869	0.854710967205437	1280	481	9379	28026778.1109445	7
20240510 002446	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.47819179984948	0.559816652359875	822	746	6215	25238238.3808096	8
20240510 002751	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.222271494233421	0.539308299048833	236	1481	8081	26162937.0314843	9
20240510 003047	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.116941038065412	0.631759723655652	1082	404	11684	27819184.4077961	10
