envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-36000	-36000	-36000	-36000	-36000	-36000	
13	-39000	-39000	-39000	-39000	-39000	-39000	
14	-42000	-42000	-42000	-42000	-42000	-42000	
15	-45000	-45000	-45000	-45000	-45000	-45000	
16	-48000	-48000	-48000	-48000	-48000	-48000	
17	-27000	69000	-51000	-51000	-51000	-51000	
18	-6000	186000	-54000	-54000	-54000	-54000	
19	15000	183000	-57000	63000	-57000	-57000	
20	12000	180000	-60000	60000	-60000	-60000	
21	9000	177000	-63000	57000	-63000	-63000	
22	6000	174000	-66000	54000	-66000	-66000	
23	27000	171000	-69000	51000	-69000	51000	
24	48000	168000	-72000	48000	48000	48000	
25	45000	165000	-75000	45000	45000	45000	
26	42000	162000	-78000	42000	42000	42000	
27	39000	159000	-81000	39000	39000	39000	
28	60000	156000	-84000	36000	156000	36000	
29	81000	153000	33000	33000	153000	33000	
30	126000	150000	150000	30000	270000	30000	
31	123000	147000	147000	27000	267000	27000	
32	144000	144000	144000	24000	384000	24000	
33	165000	141000	141000	21000	501000	21000	
34	162000	138000	138000	18000	498000	18000	
35	159000	135000	135000	15000	495000	15000	
36	180000	132000	132000	12000	492000	132000	
37	249000	249000	249000	9000	489000	249000	
38	246000	246000	246000	6000	486000	246000	
39	243000	243000	243000	3000	483000	243000	
40	240000	240000	240000	0	480000	240000	
41	237000	237000	237000	-3000	477000	237000	
42	234000	234000	234000	-6000	474000	234000	
43	231000	231000	231000	-9000	471000	231000	
44	228000	228000	228000	-12000	468000	228000	
45	249000	225000	345000	-15000	465000	225000	
46	246000	222000	342000	-18000	462000	222000	
47	243000	219000	339000	-21000	459000	219000	
48	264000	216000	336000	96000	456000	216000	
49	261000	213000	333000	93000	453000	213000	
50	282000	210000	330000	90000	570000	210000	
51	279000	207000	327000	87000	567000	207000	
52	3e+05	204000	324000	84000	564000	324000	
53	321000	201000	321000	81000	681000	321000	
54	318000	198000	318000	78000	678000	318000	
55	315000	195000	315000	75000	675000	315000	
56	312000	192000	312000	72000	672000	312000	
57	333000	189000	429000	69000	669000	309000	
58	330000	186000	426000	66000	666000	306000	
59	375000	183000	423000	183000	663000	423000	
60	396000	180000	540000	180000	660000	420000	
61	393000	177000	537000	177000	657000	417000	
62	414000	174000	534000	294000	654000	414000	
63	411000	171000	531000	291000	651000	411000	
64	432000	168000	648000	288000	648000	408000	
65	453000	165000	645000	405000	645000	405000	
66	474000	282000	642000	402000	642000	402000	
67	471000	279000	639000	399000	639000	399000	
68	492000	276000	636000	516000	636000	396000	
69	537000	393000	633000	513000	633000	513000	
70	534000	390000	630000	510000	630000	510000	
71	531000	387000	627000	507000	627000	507000	
72	552000	384000	624000	504000	744000	504000	
73	597000	501000	621000	621000	741000	501000	
74	594000	498000	618000	618000	738000	498000	
75	591000	495000	615000	615000	735000	495000	
