envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	18000	-6000	-6000	-6000	114000	-6000	
3	15000	-9000	-9000	-9000	111000	-9000	
4	12000	-12000	-12000	-12000	108000	-12000	
5	33000	-15000	105000	-15000	105000	-15000	
6	78000	-18000	102000	102000	102000	102000	
7	75000	-21000	99000	99000	99000	99000	
8	72000	-24000	96000	96000	96000	96000	
9	93000	-27000	213000	93000	93000	93000	
10	138000	90000	210000	90000	90000	210000	
11	159000	87000	207000	207000	87000	207000	
12	180000	84000	204000	204000	204000	204000	
13	201000	201000	201000	201000	201000	201000	
14	198000	198000	198000	198000	198000	198000	
15	195000	195000	195000	195000	195000	195000	
16	192000	192000	192000	192000	192000	192000	
17	213000	309000	189000	189000	189000	189000	
18	210000	306000	186000	186000	186000	186000	
19	231000	303000	183000	183000	183000	303000	
20	252000	3e+05	180000	3e+05	180000	3e+05	
21	249000	297000	177000	297000	177000	297000	
22	246000	294000	174000	294000	174000	294000	
23	267000	291000	291000	291000	171000	291000	
24	264000	288000	288000	288000	168000	288000	
25	309000	405000	405000	285000	165000	285000	
26	330000	402000	402000	282000	162000	402000	
27	327000	399000	399000	279000	159000	399000	
28	348000	396000	396000	276000	156000	516000	
29	369000	513000	393000	273000	153000	513000	
30	390000	510000	390000	270000	270000	510000	
31	411000	507000	387000	387000	267000	507000	
32	408000	504000	384000	384000	264000	504000	
33	429000	501000	381000	381000	261000	621000	
34	450000	498000	498000	378000	258000	618000	
35	447000	495000	495000	375000	255000	615000	
36	492000	492000	612000	492000	252000	612000	
37	489000	489000	609000	489000	249000	609000	
38	486000	486000	606000	486000	246000	606000	
39	483000	483000	603000	483000	243000	603000	
40	480000	480000	6e+05	480000	240000	6e+05	
41	501000	477000	597000	597000	237000	597000	
42	498000	474000	594000	594000	234000	594000	
43	519000	471000	591000	591000	351000	591000	
44	516000	468000	588000	588000	348000	588000	
45	513000	465000	585000	585000	345000	585000	
46	510000	462000	582000	582000	342000	582000	
47	507000	459000	579000	579000	339000	579000	
48	504000	456000	576000	576000	336000	576000	
49	501000	453000	573000	573000	333000	573000	
50	498000	450000	570000	570000	330000	570000	
51	495000	447000	567000	567000	327000	567000	
52	516000	444000	564000	564000	324000	684000	
53	537000	441000	561000	561000	321000	801000	
54	582000	558000	558000	678000	318000	798000	
55	603000	555000	555000	675000	435000	795000	
56	624000	672000	552000	672000	432000	792000	
57	621000	669000	549000	669000	429000	789000	
58	618000	666000	546000	666000	426000	786000	
59	639000	663000	543000	663000	543000	783000	
60	636000	660000	540000	660000	540000	780000	
61	633000	657000	537000	657000	537000	777000	
62	630000	654000	534000	654000	534000	774000	
63	651000	651000	531000	651000	651000	771000	
64	648000	648000	528000	648000	648000	768000	
65	645000	645000	525000	645000	645000	765000	
66	690000	642000	522000	642000	762000	882000	
67	711000	639000	519000	759000	759000	879000	
68	708000	636000	516000	756000	756000	876000	
69	753000	633000	513000	753000	873000	993000	
70	750000	630000	510000	750000	870000	990000	
71	771000	627000	627000	747000	867000	987000	
72	816000	744000	744000	744000	864000	984000	
73	837000	741000	741000	741000	861000	1101000	
74	882000	858000	738000	858000	858000	1098000	
