envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	9000	105000	-15000	-15000	-15000	-15000	
6	6000	102000	-18000	-18000	-18000	-18000	
7	3000	99000	-21000	-21000	-21000	-21000	
8	48000	96000	96000	-24000	-24000	96000	
9	45000	93000	93000	-27000	-27000	93000	
10	66000	90000	210000	-30000	-30000	90000	
11	87000	87000	207000	87000	-33000	87000	
12	84000	84000	204000	84000	-36000	84000	
13	81000	81000	201000	81000	-39000	81000	
14	78000	78000	198000	78000	-42000	78000	
15	75000	75000	195000	75000	-45000	75000	
16	72000	72000	192000	72000	-48000	72000	
17	69000	69000	189000	69000	-51000	69000	
18	90000	66000	186000	66000	66000	66000	
19	87000	63000	183000	63000	63000	63000	
20	84000	60000	180000	60000	60000	60000	
21	81000	57000	177000	57000	57000	57000	
22	78000	54000	174000	54000	54000	54000	
23	75000	51000	171000	51000	51000	51000	
24	96000	48000	168000	48000	168000	48000	
25	93000	45000	165000	45000	165000	45000	
26	90000	42000	162000	42000	162000	42000	
27	87000	39000	159000	39000	159000	39000	
28	84000	36000	156000	36000	156000	36000	
29	105000	33000	153000	153000	153000	33000	
30	126000	150000	150000	150000	150000	30000	
31	123000	147000	147000	147000	147000	27000	
32	144000	144000	144000	144000	144000	144000	
33	141000	141000	141000	141000	141000	141000	
34	138000	138000	138000	138000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	153000	129000	129000	129000	249000	129000	
38	150000	126000	126000	126000	246000	126000	
39	147000	123000	123000	123000	243000	123000	
40	144000	120000	120000	120000	240000	120000	
41	141000	117000	117000	117000	237000	117000	
42	138000	114000	114000	114000	234000	114000	
43	135000	111000	111000	111000	231000	111000	
44	132000	108000	108000	108000	228000	108000	
45	129000	105000	105000	105000	225000	105000	
46	126000	102000	102000	102000	222000	102000	
47	123000	99000	99000	99000	219000	99000	
48	120000	96000	96000	96000	216000	96000	
49	117000	93000	93000	93000	213000	93000	
50	114000	90000	90000	90000	210000	90000	
51	111000	87000	87000	87000	207000	87000	
52	108000	84000	84000	84000	204000	84000	
53	129000	81000	81000	81000	201000	201000	
54	126000	78000	78000	78000	198000	198000	
55	147000	195000	75000	75000	195000	195000	
56	168000	192000	72000	72000	312000	192000	
57	165000	189000	69000	69000	309000	189000	
58	162000	186000	66000	66000	306000	186000	
59	159000	183000	63000	63000	303000	183000	
60	156000	180000	60000	60000	3e+05	180000	
61	153000	177000	57000	57000	297000	177000	
62	150000	174000	54000	54000	294000	174000	
63	147000	171000	51000	51000	291000	171000	
64	144000	168000	48000	48000	288000	168000	
65	141000	165000	45000	45000	285000	165000	
66	162000	162000	42000	162000	282000	162000	
67	183000	159000	39000	159000	279000	279000	
68	204000	156000	36000	276000	276000	276000	
69	201000	153000	33000	273000	273000	273000	
70	222000	270000	30000	270000	270000	270000	
71	219000	267000	27000	267000	267000	267000	
72	216000	264000	24000	264000	264000	264000	
73	213000	261000	21000	261000	261000	261000	
74	234000	258000	138000	258000	258000	258000	
75	231000	255000	135000	255000	255000	255000	
76	228000	252000	132000	252000	252000	252000	
77	225000	249000	129000	249000	249000	249000	
78	222000	246000	126000	246000	246000	246000	
79	219000	243000	123000	243000	243000	243000	
