envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-36000	-36000	-36000	-36000	-36000	-36000	
13	-39000	-39000	-39000	-39000	-39000	-39000	
14	-18000	-42000	-42000	78000	-42000	-42000	
15	3000	-45000	-45000	195000	-45000	-45000	
16	0	-48000	-48000	192000	-48000	-48000	
17	-3000	-51000	-51000	189000	-51000	-51000	
18	18000	-54000	66000	186000	-54000	-54000	
19	15000	-57000	63000	183000	-57000	-57000	
20	12000	-60000	60000	180000	-60000	-60000	
21	57000	-63000	177000	177000	57000	-63000	
22	54000	-66000	174000	174000	54000	-66000	
23	75000	51000	171000	171000	51000	-69000	
24	96000	48000	168000	168000	168000	-72000	
25	93000	45000	165000	165000	165000	-75000	
26	90000	42000	162000	162000	162000	-78000	
27	87000	39000	159000	159000	159000	-81000	
28	84000	36000	156000	156000	156000	-84000	
29	81000	33000	153000	153000	153000	-87000	
30	78000	30000	150000	150000	150000	-90000	
31	99000	27000	147000	147000	267000	-93000	
32	96000	24000	144000	144000	264000	-96000	
33	93000	21000	141000	141000	261000	-99000	
34	90000	18000	138000	138000	258000	-102000	
35	87000	15000	135000	135000	255000	-105000	
36	84000	12000	132000	132000	252000	-108000	
37	129000	129000	129000	129000	369000	-111000	
38	126000	126000	126000	126000	366000	-114000	
39	147000	123000	123000	123000	483000	-117000	
40	192000	120000	240000	240000	480000	-120000	
41	189000	117000	237000	237000	477000	-123000	
42	234000	114000	234000	354000	474000	-6000	
43	255000	111000	351000	351000	471000	-9000	
44	252000	108000	348000	348000	468000	-12000	
45	273000	225000	345000	345000	465000	-15000	
46	270000	222000	342000	342000	462000	-18000	
47	291000	219000	339000	459000	459000	-21000	
48	312000	216000	456000	456000	456000	-24000	
49	333000	213000	453000	453000	453000	93000	
50	330000	210000	450000	450000	450000	90000	
51	327000	207000	447000	447000	447000	87000	
52	348000	204000	444000	564000	444000	84000	
53	393000	201000	441000	561000	561000	201000	
54	390000	198000	438000	558000	558000	198000	
55	411000	315000	435000	555000	555000	195000	
56	432000	312000	432000	552000	552000	312000	
57	429000	309000	429000	549000	549000	309000	
58	450000	306000	426000	546000	546000	426000	
59	447000	303000	423000	543000	543000	423000	
60	468000	3e+05	420000	540000	660000	420000	
61	465000	297000	417000	537000	657000	417000	
62	486000	294000	414000	534000	774000	414000	
63	507000	291000	411000	531000	771000	531000	
64	504000	288000	408000	528000	768000	528000	
65	501000	285000	405000	525000	765000	525000	
66	498000	282000	402000	522000	762000	522000	
67	495000	279000	399000	519000	759000	519000	
68	492000	276000	396000	516000	756000	516000	
69	537000	393000	393000	513000	753000	633000	
70	534000	390000	390000	510000	750000	630000	
71	555000	387000	387000	627000	747000	627000	
72	576000	504000	384000	624000	744000	624000	
73	573000	501000	381000	621000	741000	621000	
74	570000	498000	378000	618000	738000	618000	
75	567000	495000	375000	615000	735000	615000	
