envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	6000	102000	-18000	-18000	-18000	-18000	
7	3000	99000	-21000	-21000	-21000	-21000	
8	24000	96000	-24000	96000	-24000	-24000	
9	45000	93000	-27000	93000	-27000	93000	
10	66000	90000	90000	90000	-30000	90000	
11	87000	87000	87000	207000	-33000	87000	
12	84000	84000	84000	204000	-36000	84000	
13	81000	81000	81000	201000	-39000	81000	
14	102000	78000	78000	198000	78000	78000	
15	99000	75000	75000	195000	75000	75000	
16	144000	72000	72000	192000	192000	192000	
17	141000	69000	69000	189000	189000	189000	
18	162000	66000	186000	186000	186000	186000	
19	159000	63000	183000	183000	183000	183000	
20	156000	60000	180000	180000	180000	180000	
21	153000	57000	177000	177000	177000	177000	
22	174000	174000	174000	174000	174000	174000	
23	195000	171000	171000	171000	291000	171000	
24	192000	168000	168000	168000	288000	168000	
25	189000	165000	165000	165000	285000	165000	
26	186000	162000	162000	162000	282000	162000	
27	207000	159000	279000	159000	279000	159000	
28	204000	156000	276000	156000	276000	156000	
29	249000	273000	273000	153000	393000	153000	
30	246000	270000	270000	150000	390000	150000	
31	243000	267000	267000	147000	387000	147000	
32	264000	264000	264000	144000	384000	264000	
33	261000	261000	261000	141000	381000	261000	
34	258000	258000	258000	138000	378000	258000	
35	279000	255000	255000	135000	375000	375000	
36	276000	252000	252000	132000	372000	372000	
37	273000	249000	249000	129000	369000	369000	
38	318000	246000	246000	246000	486000	366000	
39	339000	243000	243000	363000	483000	363000	
40	336000	240000	240000	360000	480000	360000	
41	357000	237000	237000	357000	597000	357000	
42	402000	234000	234000	474000	594000	474000	
43	399000	231000	231000	471000	591000	471000	
44	396000	228000	228000	468000	588000	468000	
45	393000	225000	225000	465000	585000	465000	
46	390000	222000	222000	462000	582000	462000	
47	387000	219000	219000	459000	579000	459000	
48	384000	216000	216000	456000	576000	456000	
49	381000	213000	213000	453000	573000	453000	
50	378000	210000	210000	450000	570000	450000	
51	375000	207000	207000	447000	567000	447000	
52	372000	204000	204000	444000	564000	444000	
53	369000	201000	201000	441000	561000	441000	
54	366000	198000	198000	438000	558000	438000	
55	387000	315000	195000	435000	555000	435000	
56	408000	312000	312000	432000	552000	432000	
57	405000	309000	309000	429000	549000	429000	
58	402000	306000	306000	426000	546000	426000	
59	399000	303000	303000	423000	543000	423000	
60	396000	3e+05	3e+05	420000	540000	420000	
61	393000	297000	297000	417000	537000	417000	
62	390000	294000	294000	414000	534000	414000	
63	411000	411000	291000	411000	531000	411000	
64	408000	408000	288000	408000	528000	408000	
65	405000	405000	285000	405000	525000	405000	
66	402000	402000	282000	402000	522000	402000	
67	447000	519000	399000	399000	519000	399000	
68	444000	516000	396000	396000	516000	396000	
69	441000	513000	393000	393000	513000	393000	
70	438000	510000	390000	390000	510000	390000	
71	459000	507000	507000	387000	507000	387000	
72	456000	504000	504000	384000	504000	384000	
73	453000	501000	501000	381000	501000	381000	
74	450000	498000	498000	378000	498000	378000	
75	447000	495000	495000	375000	495000	375000	
76	492000	492000	612000	492000	492000	372000	
77	489000	489000	609000	489000	489000	369000	
78	510000	486000	606000	486000	486000	486000	
79	531000	603000	603000	483000	483000	483000	
